1,問題：３+５×２＝？,１６,１３,１８,１１,1
1,問題：(３+３)×２＝？,１２,１３,１８,１１,0
1,問題：３＋１－２＝？,２,３,１,４,0
1,問題：６－３－２＝？,２,３,１,４,2
1,問題：６÷３－２＝？,０,１,２,３,0
1,問題：７－４÷２＝？,３,４,５,６,2
1,問題：（－８）÷（ー２）＝？,０,４,２,６,1
1,７x＝－４２x：xに入る数は？,－５,－６,－７,－８,1
1,『有頂天』の読みは？,ゆうちょうてん,ありちょうてん,うちょうてん,うちょうあまつ,2
1,『鰻』の読みは？,さんま,うなぎ,たら,まぐろ,1
2,『鯖』の読みは？,さば,さんま,たら,まぐろ,0
2,『鰹』の読みは？,たい,かつお,ふぐ,まぐろ,1
2,『河豚』の読みは？,いるか,かわぶた,ふぐ,しゃち,2
2,『海豚』の読みは？,ふぐ,いるか,うみぶた,しゃち,0
2,地球上の陸と海の面積比は、何対何か,1:9,2:8,3:7,4:6,2
2,六大陸の中でもっとも面積の大きい大陸を何という？,ユーラシア大陸,アフリカ大陸,北アメリカ大陸,南極大陸,0
2,一寸の虫にも□分の魂。□には何が入る？,一分,三分,五分,八分,2
2,『霜月』なんと読む？,ういげつ,しもげつ,しもつき,ろくがつ,2
2,植物が光合成をする際に必要『ない』ものは？,水,二酸化炭素,葉緑素,酸素,3
2,初代内閣総理大臣は誰？,伊藤 博文,大隈 重信,松方 正義,山縣 有朋,0
2,『afternoon』はいつ？,朝,午前,午後,正午,2
2,２月は英語で？,February,July,January,March,0
2,７月は英語で？,February,July,January,March,1
2,仲間外れはどれ？,くじら,イルカ,シャチ,サメ,3
2,３大栄養素でないものは？,炭水化物,タンパク質,ビタミン,脂質,2
2,ドライアイスは何が固まったもの？,空気,窒素,酸素,二酸化炭素,3
2,三角形の内角の和は？,90°,180°,270°,360°,1
2,次のうち、県名と県庁所在地が異なる県はどれ？,福岡,秋田,群馬,岐阜,2
2,「たしかめる」の正しい送り仮名は？,確かめる,確める,確しかめる,確る,0
2,次のうち太宰治の作品でないものはどれ？,走れメロス,人間失格,津軽,吾輩は猫である,3
2,『人間失格』の作者は誰？,芥川龍之介,太宰治,宮沢賢治,夏目漱石,1
2,四大文明に関係ない川はどれ？,ナイル川,インダス川,黄河,アマゾン川,3
2,エジプト文明に関係する川はどれ？,ナイル川,インダス川,黄河,アマゾン川,0
2,地球が寒冷化した250万年ほど前の時代は何時代？,恐竜時代,古代,原始時代,氷河時代,3
2,１万年ほど前まで続いた狩り、採集を行っていた時代を何という？,旧石器時代,原始時代,新石器時代,縄文時代,0
2,瞳の大きさを変え、目に入ってくる光の量を調節する部分を何という？,虹彩,網膜,瞳孔,角膜,0
2,日本でいちばん高い山は富士山。それでは2番目は？,間ノ岳,北岳,奥穂高岳,	槍ヶ岳,1
2,抵抗の単位はどれ？,V,A,Ω,W,2
2,体積の単位はどれ？,㎥,ha,㎡,ra,0
3,空気１ｍ３中に含むことのできる水蒸気の限界の量を何という？,飽和推移蒸気量,飽和水蒸気量,水蒸気量,厳密水蒸気圧,1
3,生物が成長する時、細胞がどのようになる？,大きくなる,増える,増えて大きくなる,変わらない,2
3,二酸化炭素の性質として、誤っているものはどれ？,匂いが無い,空気より密度が小さい,水に溶ける,石灰水が濁る,1
3,太陽系第三惑星は何？,月,地球,火星,水星,1
4,熱量の単位はどれ？,cal,W,V,Pa,0
4,オーケストラで「スコア」といったら何のこと？,打楽器,楽譜,指揮者,弦楽器,1
4,日本の最西端は？,沖ノ鳥島,与那国島,南鳥島,宗谷岬,1
4,音の伝わる速さは秒速約何メートル？,3.4m/s,34m/s,340m/s,3400m/s,2
4,日本の最南端は？,沖ノ鳥島,与那国島,南鳥島,宗谷岬,0
4,「コットン」とは何のこと？,麻,絹,綿,皮,2
4,「クレジットカード」の「クレジット」の本来の意味は？,信用,現金,借用,貸出,0
4,「只管」の読みは？,くだかん,ただかん,ひたすら,ただくだ,2
4,「交響曲」のことを何という？,シンフォニー,レクイエム,ファンタジア,ノクターン,0
5,「ぎんなん」は何の種子？,マツ,イチョウ,ケヤキ,ブナ,1
5,「閑古鳥が鳴く」の閑古鳥とは？,ニワトリ,カッコウ,ムクドリ,ツグミ,1
5,周波数の単位はどれ？,dB,Hz,bit,bps,1
5,面積がいちばん小さい都道府県は？,香川県,沖縄県,東京都,大阪府,0
5,都道府県の面積で１番広いのは北海道。では２番目は？,長野県,新潟県,福島県,岩手県,3
5,1インチは何mm？,2mm,2.5mm,25.4mm,254mm,2
5,大気中でもっとも軽い気体は？,酸素,水素,二酸化炭素,窒素,1
5,絵の具で、赤と青と黄を混ぜると何色になる？,白,黒,紺,紫,1
6,１尺は何cm？,約10cm,約20cm,約30cm,約40cm,2
6,甲子園球場がある都道府県は？,大阪府,東京都,兵庫県,大分県,2
6,日本の国鳥は？,キジ,クジャク,トキ,ハクチョウ,0
6,にしんの卵の塩干し品を何という？,かずのこ,たらこ,めんたいこ,いくら,0
6,日本で一番深い湖はどれ？,池田湖,十和田湖,支笏湖,田沢湖,3
6,太陽の表面温度はおよそ何度？,600度,1000度,3000度,6000度,3
6,バレエ音楽として有名な「白鳥の湖」の作曲者は？,シューベルト,ベートーヴェン,バッハ,チャイコフスキー,3
10,血液で体の各部に酸素を運ぶ機能を持つのはどれ？,白血球,血小板,血漿,赤血球,3
10,血液で体内に侵入した細菌やウィルスに対する免疫機能を持つのはどれ？,白血球,血小板,血漿,赤血球,0
10,血液で出血を止める機能を持つのはどれ？,白血球,血小板,血漿,赤血球,1
10,肝臓の働きとして正しいのはどれ？,アンモニアを尿素に,食べ物を消化する,血液の塩分濃度調整,不要物の排出,0
10,人体で最も硬い部分はどこ？,爪,骨,歯,筋肉,2